1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,ѹ��
0.93333333,0.72222222,0.61666667,0.57500000,0.55416667,0.48819444,0.42222222,0.67777778,0.76111111,0.80277778,0.72361111,0.66180556,0.55312500,0.44444444,0.65555556,0.76111111,0.75833333,0.59027778,0.42222222,0.41111111,0.40000000,0.62222222,0.70000000,0.77222222,0.84166667,0.64305556,0.44444444,0.66666667,0.78888889,0.79444444,0.85277778,0.83750000,0.84097222,0.79826389,0.81024306,0.62734375,0.44444444,0.54444444,0.57222222,0.50833333,0.44444444,0.60000000,0.65555556,0.75000000,0.80833333,0.82638889,0.83541667,0.82881944,0.83663194,0.75164931,0.76471354,0.73791233,0.73562283,0.74558919,0.72835015,0.71111111,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,0.67510294,14
0.88888889,0.83333333,0.76111111,0.74722222,0.71805556,0.70347222,0.66284722,0.70920139,0.68793403,0.64396701,0.67753906,0.68321398,0.68605143,0.67635905,0.68262397,0.67464532,0.64843377,0.62421689,0.61210844,0.62827644,0.64747156,0.69040244,0.67853456,0.66148950,0.66407808,0.60981682,0.57157508,0.55245420,0.54289377,0.53811355,0.58016789,0.61230617,0.62837531,0.62529876,0.64598272,0.64521358,0.61149568,0.59463673,0.60842948,0.60421474,0.57988515,0.60105368,0.62274906,0.64470787,0.63346504,0.62784363,0.61392182,0.58473869,0.59236934,0.60729578,0.60364789,0.56849061,0.51757864,0.49212265,0.46828355,0.44444444,0.51111111,0.57777778,0.62222222,0.57777778,0.58888889,0.61666667,0.64444444,0.62863395,0.62863395,0.62863395,0.62863395,0.62863395,0.62863395,0.62863395,0.62863395,0.62863395,0.62863395,0.62863395,0.62863395,0.62863395,0.62863395,0.62863395,0.62863395,0.62863395,26
0.91111111,0.91111111,0.86666667,0.80000000,0.80000000,0.74444444,0.76111111,0.73611111,0.74583333,0.77291667,0.74201389,0.78211806,0.73550347,0.71219618,0.64498698,0.71138238,0.74458008,0.77229004,0.74170058,0.75973918,0.76875848,0.73993479,0.69218962,0.72387259,0.71749185,0.75874592,0.76826185,0.78413093,0.75873213,0.74603273,0.73968303,0.70317485,0.65158742,0.64801593,0.67956352,0.69533732,0.69211310,0.71272322,0.73413939,0.71151414,0.71131262,0.67787853,0.67227260,0.71391408,0.72362371,0.75070074,0.70868370,0.73211963,0.72161537,0.73858546,0.74707051,0.75131303,0.68676763,0.62222222,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,0.73666480,12
0.68888889,0.67777778,0.67222222,0.66944444,0.65694444,0.66180556,0.66423611,0.64322917,0.63272569,0.62747396,0.62484809,0.61242405,0.59510091,0.59755046,0.62099745,0.63272095,0.59413825,0.59706913,0.62075679,0.62148950,0.62185586,0.58870571,0.57213063,0.57495421,0.59858821,0.61040522,0.59409150,0.60815686,0.64852287,0.66870588,0.65657516,0.65050980,0.61414379,0.59596078,0.59798039,0.57676797,0.56616176,0.57196977,0.57487377,0.56521467,0.57149622,0.57463700,0.57620739,0.61032592,0.59405185,0.56369259,0.54851296,0.56314537,0.58157268,0.60189745,0.61205984,0.60602992,0.61412607,0.62928526,0.64797596,0.62398798,0.60088288,0.56710811,0.51688739,0.52511036,0.54033296,0.53683315,0.54619435,0.56198606,0.55877081,0.55555556,0.60298159,0.60298159,0.60298159,0.60298159,0.60298159,0.60298159,0.60298159,0.60298159,0.60298159,0.60298159,0.60298159,0.60298159,0.60298159,0.60298159,16
0.62222222,0.71111111,0.72222222,0.80555556,0.74722222,0.78472222,0.75902778,0.70173611,0.72864583,0.67543403,0.74882812,0.74108073,0.73720703,0.79082574,0.78430176,0.78103977,0.76829766,0.76192661,0.79207442,0.79603721,0.73135194,0.69900930,0.69394910,0.70253010,0.81793172,0.76452141,0.77114960,0.79668591,0.72056518,0.79361592,0.77458574,0.78729287,0.74920199,0.77460100,0.75396716,0.77698358,0.76626957,0.80535701,0.79156739,0.78467258,0.79233629,0.79616815,0.78697296,0.82681981,0.78007657,0.81226051,0.82835248,0.82528735,0.83486590,0.80632184,0.77777778,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,0.76632484,10
0.55555556,0.55555556,0.56666667,0.58333333,0.59166667,0.58472222,0.55902778,0.53506944,0.50086806,0.49487847,0.50299479,0.55149740,0.59797092,0.61009657,0.59393717,0.55252414,0.54292874,0.57146437,0.58573218,0.58175498,0.56865527,0.56210541,0.55883048,0.55719302,0.56748540,0.59485381,0.61964913,0.59871345,0.57713450,0.56634503,0.54983918,0.54158626,0.54857091,0.54095212,0.54825384,0.54079359,0.51484124,0.52408729,0.51759920,0.51435515,0.54606647,0.57303323,0.54207217,0.51548053,0.49107360,0.48998124,0.47832396,0.49471753,0.52513654,0.55145716,0.53128414,0.51008651,0.49948770,0.48307718,0.47487193,0.63743596,0.55205131,0.53158121,0.54356838,0.52733975,0.68589210,0.60961271,0.58258414,0.56906985,0.58453492,0.57004524,0.56280040,0.57028909,0.56292232,0.54812783,0.52961947,0.51111111,0.55159479,0.55159479,0.55159479,0.55159479,0.55159479,0.55159479,0.55159479,0.55159479,14
0.80000000,0.66666667,0.55555556,0.44444444,0.58888889,0.75000000,0.68611111,0.62083333,0.56597222,0.51631944,0.53593750,0.49019097,0.44444444,0.46666667,0.46666667,0.48888889,0.46666667,0.44444444,0.54444444,0.56111111,0.55833333,0.55694444,0.54513889,0.51701389,0.50295139,0.52925347,0.56462674,0.56009115,0.52449002,0.49557834,0.54778917,0.60722792,0.59250285,0.56291809,0.58145905,0.61295174,0.65092032,0.59212683,0.54050786,0.54803171,0.54068252,0.53700793,0.52405952,0.50647420,0.53101488,0.53217411,0.52164261,0.51637686,0.51374399,0.50131644,0.52843600,0.57532911,0.59877567,0.58827672,0.56080503,0.56929140,0.59575681,0.58676730,0.59338365,0.63002516,0.63723480,0.64083962,0.63153092,0.63798768,0.61899384,0.60949692,0.64919290,0.61348534,0.57777778,0.56468102,0.56468102,0.56468102,0.56468102,0.56468102,0.56468102,0.56468102,0.56468102,0.56468102,0.56468102,0.56468102,22
0.57777778,0.63333333,0.68333333,0.67500000,0.68194444,0.66319444,0.63159722,0.68246528,0.69678819,0.83728299,0.81864149,0.65376519,0.57132704,0.56344130,0.57060954,0.74086032,0.67043016,0.61299286,0.57316310,0.54213710,0.52662411,0.52997872,0.52054492,0.53805024,0.55791401,0.55673478,0.53392295,0.53362814,0.54459185,0.60562926,0.63614796,0.64029620,0.60903699,0.61562961,0.60781480,0.55946296,0.52417592,0.53986574,0.53659954,0.54607755,0.55081655,0.56429716,0.55992636,0.54662985,0.57331492,0.56443524,0.53777318,0.52444214,0.51777663,0.52555498,0.52944416,0.54249986,0.56013882,0.56895830,0.55114582,0.53112846,0.52111979,0.48278212,0.44444444,0.48888889,0.48888889,0.45555556,0.42222222,0.45555556,0.47222222,0.50277778,0.52916667,0.55555556,0.57220990,0.57220990,0.57220990,0.57220990,0.57220990,0.57220990,0.57220990,0.57220990,0.57220990,0.57220990,0.57220990,0.57220990,12
0.60000000,0.61111111,0.62777778,0.62500000,0.63472222,0.58402778,0.54756944,0.55156250,0.57578125,0.58789062,0.60505642,0.61363932,0.64015299,0.62007650,0.58781603,0.58279690,0.60250956,0.61236589,0.60618295,0.62531370,0.61265685,0.60632842,0.62538643,0.62380433,0.62301328,0.61150664,0.59464221,0.59732110,0.58754944,0.59377472,0.58577625,0.58177701,0.59088851,0.60655536,0.58105546,0.54608329,0.53970831,0.53652082,0.52381597,0.55079687,0.56428732,0.55992144,0.52440516,0.51775814,0.52554574,0.54055065,0.53694199,0.55735988,0.58979105,0.61711775,0.57522554,0.54316833,0.54936194,0.54134764,0.52622937,0.52978135,0.53155734,0.52133423,0.51622267,0.51366689,0.51238900,0.51175006,0.51143058,0.51127085,0.51119098,0.50003993,0.51668663,0.53612109,0.55555556,0.56968585,0.56968585,0.56968585,0.56968585,0.56968585,0.56968585,0.56968585,0.56968585,0.56968585,0.56968585,0.56968585,18
0.84444444,0.86666667,0.84444444,0.66666667,0.57777778,0.52222222,0.52777778,0.68611111,0.78750000,0.82708333,0.82465278,0.82343750,0.83394097,0.78363715,0.75848524,0.75702040,0.78962131,0.79481066,0.78629422,0.84870266,0.81324022,0.78439789,0.76997672,0.74054392,0.73693862,0.73513598,0.75645688,0.80045066,0.77800311,0.80011267,0.77783411,0.75558372,0.77779186,0.76667371,0.81667019,0.78611287,0.84861199,0.80208377,0.77881966,0.73385428,0.72248269,0.78346357,0.80284290,0.80142145,0.72293295,0.69479981,0.73628879,0.71258884,0.55629442,0.40000000,0.56666667,0.73333333,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,0.74891741,14
